IPO Status,Ticker Code,Company Name,Sector,Subsector,Listing Board,Final Price (Rp),Return D1,Return D2,Return D3,Return D4,Return D5,Return D6,Return D7,Return from Listing Date,Line of Business,Address,Website,Number of shares offered,% of Total Shares,Participant Admin,Underwriter(s),Book Building Opening,Book Building Closing,Lowest Book Building Price (Rp),Highest Book Building Price (Rp),Opening of Offering Period,Closing of Offering Period,Closing Date,Distribution Date,Listing Date,Warrant per share ratio,Exercise Price (Warrant) (Rp)
Closed,MUTU,PT Mutuagung Lestari Tbk,Consumer Discretionary,,Pengembangan,108.0,0.3425925925925926,0.006896551724137931,-0.1095890410958904,-0.038461538461538464,0.064,-0.045112781954887216,0.0,0.25,"Jasa Pengujian, Inspeksi dan Sertifikasi","Jl. Raya Bogor KM 33,5 No. 19 Cimanggis Depok, 16453",https://www.mutucertification.com,942857200,30.0,LG - TRIMEGAH SEKURITAS INDONESIA TBK.,"LG,PD",2023-07-12,2023-07-24,105,110,2023-08-02,2023-08-07,2023-08-07,2023-08-08,2023-08-09,0.25,324.0
Closed,HUMI,PT Humpuss Maritim Internasional Tbk,Energy,Oil & Gas Storage & Distribution,Utama,100.0,0.02,-0.00980392156862745,0.009900990099009901,0.09803921568627451,0.3482142857142857,0.32450331125827814,0.31,1.16,"Aktivitas Perusahaan Holding, Angkutan Laut dalam Negeri untuk Barang Khusus","Gedung Mangkuluhur City Tower One Lt, 27 Jl, Jend Gatot Subroto Kav 1, Karet Semanggi Setiabudi, Jakarta Selatan, 12930","https://humi,co,id/",2707000000,15.0,"LS - RELIANCE SEKURITAS INDONESIA TBK,",LS,2023-07-18,2023-07-24,100,150,2023-08-02,2023-08-07,2023-08-07,2023-08-08,2023-08-09,0.5,200.0
Closed,ERAL,PT Sinar Eka Selaras Tbk,Consumer Cyclicals,Electronics Retail,Utama,390.0,0.03076923076923077,-0.07960199004975124,0.0,0.010810810810810811,-0.016042780748663103,0.0,0.03260869565217391,-0.23076923076923078,Aktivitas Perdagangan Besar serta Perdagangan Eceran melalui Perusahaan Anak,"Erajaya Plaza Jalan Bandengan Selatan No, 19-20, Kel, Pekojan, Kec, Tambora Kota Jakarta Barat, DKI Jakarta 11240","https://www,ses,id/",1037500000,20.0,YP - MIRAE ASSET SEKURITAS INDONESIA,"YP,NI",2023-07-14,2023-07-26,370,410,2023-08-02,2023-08-04,2023-08-04,2023-08-07,2023-08-08,0.0,
Closed,CYBR,PT ITSEC Asia Tbk,Technology,IT Services & Consulting,Pengembangan,100.0,0.35,0.34814814814814815,0.31868131868131866,0.13333333333333333,-0.14705882352941177,-0.008620689655172414,-0.017391304347826087,12.75,Aktivitas Konsultasi Keamanan Informasi,"Kantor Pusat : Gedung Noble House Lantai 11 Unit 2 & 3 Jl, Dr Ide Anak Agung Gde Agung Kavling E,4,2 No 2, Mega Kuningan Kelurahan Kuningan Timur, Kecamatan Setiabudi Jakarta Selatan, Indonesia 12950","https://www,itsec,asia",1008734800,15.64,YP - MIRAE ASSET SEKURITAS INDONESIA,"YP,AZ,LG",2023-07-18,2023-07-26,100,110,2023-08-02,2023-08-04,2023-08-04,2023-08-07,2023-08-08,0.5,400.0
Closed,GRIA,PT Ingria Pratama Capitalindo Tbk,Properties & Real Estate,Real Estate Development & Management,Pengembangan,120.0,-0.016666666666666666,0.025423728813559324,-0.024793388429752067,-0.01694915254237288,0.017241379310344827,-0.025423728813559324,0.043478260869565216,-0.2,Real Estat,"Ruko Pondok Cabe Mutiara, Jalan Pondok Cabe Raya No, 27, Kecamatan Pamulang, Tangerang Selatan, Banten 15418,","https://ingriagroup,com/",1725000000,23.39,AO - ERDIKHA ELIT SEKURITAS,AO,2023-07-20,2023-07-24,115,120,2023-08-02,2023-08-04,2023-08-04,2023-08-07,2023-08-08,0.0,
Closed,PPRI,"PT Paperocks Indonesia Tbk,",Basic Materials,Containers & Packaging,Pengembangan,140.0,-0.15,-0.14285714285714285,-0.14705882352941177,-0.034482758620689655,-0.08333333333333333,0.0,0.16883116883116883,1.0571428571428572,Bergerak Dalam Bidang Perdagangan Besar Barang Dari Kertas Dan Karton,"Ruko Cibubur Times Square Blok C 1 N0, 23, Jalan Alternatif Cibubur RT,001/RW,010, Kelurahan Jatikarya, Kecamatan Jatisampurna, Kota Bekasi, Jawa Barat 17435","https://paperocks,co,id/",275000000,25.58,IU - INDO CAPITAL SEKURITAS,IU,2023-07-20,2023-07-24,130,150,2023-08-02,2023-08-04,2023-08-04,2023-08-07,2023-08-08,0.6,200.0
Closed,FOLK,PT Multi Garam Utama Tbk,Industrials,Multi-sector Holdings,Pengembangan,100.0,0.13,-0.1415929203539823,-0.14432989690721648,0.08433734939759036,-0.05555555555555555,0.011764705882352941,-0.06976744186046512,3.9,Aktivitas Perusahaan Holding dan Aktivitas Konsultasi Manajemen,"Prosperity Tower 17-F District 8, SCBD, Jalan Jenderal Sudirman Kavling 52-53, Kelurahan Senayan, Kec, Kebayoran Baru, Jakarta Selatan, Provinsi DKI Jakarta, 12190","https://folkgroup,co",570000000,14.44,HD - KGI SEKURITAS INDONESIA,"HD,IF",2023-07-20,2023-07-24,100,105,2023-08-01,2023-08-03,2023-08-03,2023-08-04,2023-08-07,0.5,200.0
Closed,HBAT,PT Minahasa Membangun Hebat Tbk,Properties & Real Estate,Real Estate Development & Management,Akselerasi,108.0,-0.09259259259259259,-0.09183673469387756,-0.0898876404494382,-0.09876543209876543,-0.0821917808219178,-0.08955223880597014,-0.08196721311475409,1.2777777777777777,Bergerak dalam Bidang Usaha Real Estate,"Perumahan Sawangan Permai Kel, Sawangan, Kec, Tombulu, Kab, Minahasa, Prov, Sulawesi Utara 95663, Indonesia","https://mmhebat,co,id/",240740800,23.13,YJ - LOTUS ANDALAN SEKURITAS,YJ,2023-07-12,2023-07-20,100,108,2023-08-01,2023-08-03,2023-08-03,2023-08-04,2023-08-07,0.0,
Closed,CNMA,PT Nusantara Sejahtera Raya Tbk,Consumer Cyclicals,Recreational & Sports Facilities,Utama,270.0,0.17037037037037037,-0.006329113924050633,-0.03184713375796178,0.019736842105263157,-0.0064516129032258064,-0.01948051948051948,0.013245033112582781,-0.562962962962963,Bioskop dan Restoran,"Jl, KH Wahid Hasyim No,96-A Jakarta Pusat 10340","https://www,cinema21,co,id",8335000000,10.0,CC - MANDIRI SEKURITAS,"CC,AK,BK,PD",2023-07-10,2023-07-14,270,288,2023-07-27,2023-07-31,2023-07-31,2023-08-01,2023-08-02,0.0,
Closed,RMKO,PT Royaltama Mulia Kontraktorindo Tbk,Energy,"Oil, Gas & Coal Equipment & Services",Pengembangan,450.0,0.24444444444444444,-0.05357142857142857,-0.06415094339622641,0.07862903225806452,0.018691588785046728,-0.06422018348623854,-0.027450980392156862,-0.5155555555555555,Jasa Penunjang Pertambangan dan Jasa Penyewaan Alat-Alat Berat,"Wisma RMK, Jl, Puri Kencana Blok M4 No, 1, Kembangan Selatan, Jakarta Barat 11610","http://www,rmko,co,id/",250000000,20.0,MI - VICTORIA SEKURITAS INDONESIA,MI,2023-07-10,2023-07-13,350,450,2023-07-25,2023-07-27,2023-07-27,2023-07-28,2023-07-31,0.0,
